time_stamp, accel_x, accel_y, accel_z, linear_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z, altitude, temperature, pressure, gps_nmea
218,1.58,27.97,100821.09,-0.45,-0.03,-0.06,0.84,1.21,9.69,0.05,-0.06,-0.29,0.95,6.00,-64.50,17.06,1.58,27.97,100821.09,,1000*1D

204,1.58,27.97,100821.13,0.40,-0.70,0.71,2.36,1.55,9.38,0.05,-0.14,-0.24,0.96,12.50,-13.19,23.25,1.58,27.97,100821.13,,1000*1D

188,1.58,27.96,100821.43,-0.73,0.43,-0.28,2.70,1.30,9.33,0.05,-0.15,-0.15,0.98,8.50,3.12,41.50,1.58,27.96,100821.43,,1000*1D

172,1.58,27.96,100821.89,0.36,0.00,0.05,2.79,1.29,9.31,0.06,-0.15,-0.05,0.99,15.38,15.19,52.75,1.58,27.96,100821.89,,1000*1D

163,1.58,27.96,100821.28,0.37,0.13,-0.10,2.35,1.28,9.43,0.07,-0.12,0.05,0.99,23.31,-14.25,49.88,1.58,27.96,100821.28,,1000*1D

148,1.58,27.96,100821.21,-0.61,1.53,-0.92,2.33,1.07,9.46,0.07,-0.11,0.12,0.98,-27.13,-4.25,9.25,1.58,27.96,100821.21,,1000*1D

137,1.58,27.96,100820.84,0.28,-0.12,0.44,2.78,0.86,9.36,0.06,-0.14,0.08,0.99,12.19,3.44,-19.69,1.58,27.96,100820.84,,1000*1D

123,1.58,27.96,100821.00,0.18,-0.15,-0.14,2.18,1.35,9.46,0.07,-0.11,0.04,0.99,10.81,16.19,-20.06,1.58,27.96,100821.00,,33,1*6C1000*1D

107,1.58,27.95,100821.43,-0.51,0.20,-0.04,1.87,1.65,9.48,0.09,-0.10,0.01,0.99,3.25,7.81,-10.31,1.58,27.95,100821.43,,33,1*6C1000*1D

92,1.58,27.95,100821.64,0.06,0.30,-0.14,1.60,1.79,9.50,0.03,-0.12,-0.56,0.82,-1.56,2.75,2.81,1.58,27.95,100821.64,,33,1*6C1000*1D

76,1.58,27.95,100822.20,0.06,0.02,-0.07,1.43,1.79,9.53,0.03,-0.11,-0.56,0.82,-0.56,3.00,-0.13,1.58,27.95,100822.20,,33,1*6C1000*1D

61,1.58,27.95,100821.87,0.02,0.09,-0.08,1.35,1.78,9.54,0.04,-0.11,-0.56,0.82,0.13,0.50,0.69,1.58,27.95,100821.87,,33,1*6C1000*1D

47,1.58,27.95,100821.44,-0.02,0.04,-0.07,1.31,1.81,9.54,0.04,-0.11,-0.56,0.82,1.19,2.00,-0.19,1.58,27.95,100821.44,,33,1*6C1000*1D

35,1.58,27.95,100821.00,-0.10,0.13,-0.04,1.18,1.85,9.55,0.04,-0.10,-0.56,0.82,0.94,0.56,0.37,1.58,27.95,100821.00,,33,1*6C1000*1D

19,1.58,27.95,100820.34,0.02,-0.18,-0.23,1.19,1.84,9.55,0.04,-0.10,-0.56,0.82,-0.31,0.75,2.25,1.58,27.95,100820.34,,33,1*6C1000*1D

4,1.58,27.95,100820.30,-0.01,0.05,-0.08,1.23,1.86,9.54,0.04,-0.11,-0.55,0.83,0.62,0.00,-4.06,1.58,27.95,100820.30,,33,1*6C1000*1D

245,1.58,27.95,100820.54,0.70,1.37,2.46,0.33,1.87,9.61,0.07,-0.07,-0.55,0.83,-9.75,108.56,-22.75,1.58,27.95,100820.54,,33,1*6C1000*1D

231,1.58,27.95,100820.35,0.45,-1.01,1.91,-4.31,0.27,8.80,0.15,0.17,-0.60,0.77,-34.81,23.25,-10.81,1.58,27.95,100820.35,,33,1*6C1000*1D

218,1.58,27.95,100819.69,0.58,-0.06,-0.36,-5.25,-0.80,8.23,0.14,0.25,-0.59,0.76,-32.44,11.44,-3.69,1.58,27.95,100819.69,,33,1*6C1000*1D

205,1.58,27.95,100818.99,0.19,-0.19,-0.78,-5.46,-1.51,7.99,0.11,0.28,-0.56,0.77,-14.31,4.12,3.94,1.58,27.95,100818.99,,33,1*6C1000*1D

189,1.58,27.95,100819.05,0.00,-0.23,-0.17,-5.06,-1.93,8.17,0.07,0.28,-0.55,0.78,-5.00,-5.19,-2.25,1.58,27.95,100819.05,,33,1*6C1000*1D

174,1.58,27.95,100819.87,-0.01,0.16,0.07,-5.00,-2.00,8.19,0.07,0.28,-0.55,0.78,-4.12,-4.12,1.50,1.58,27.95,100819.87,,33,1*6C1000*1D

158,1.58,27.95,100819.55,-0.03,0.05,-0.16,-4.77,-2.23,8.27,0.05,0.28,-0.55,0.79,-19.37,-16.62,-3.25,1.58,27.95,100819.55,,33,1*6C1000*1D

144,1.58,27.94,100819.02,0.27,0.00,0.13,-4.39,-3.08,8.20,-0.00,0.29,-0.54,0.79,-31.81,-14.06,5.44,1.58,27.94,100819.02,,33,1*6C1000*1D

132,1.58,27.94,100818.75,0.18,0.04,0.04,-4.15,-4.39,7.72,-0.09,0.31,-0.49,0.81,-31.37,-6.06,4.37,1.58,27.94,100818.75,,33,1*6C1000*1D

118,1.58,27.94,100817.84,-0.21,0.36,0.09,-4.04,-4.67,7.61,-0.11,0.32,-0.47,0.82,-0.94,1.06,-1.37,1.58,27.94,100817.84,,33,1*6C1000*1D

102,1.58,27.93,100818.67,0.02,0.27,-0.15,-4.01,-4.66,7.63,-0.11,0.31,-0.47,0.82,9.50,-2.56,0.06,1.58,27.93,100818.67,,33,1*6C1000*1D

87,1.58,27.93,100818.59,0.00,0.21,-0.21,-4.58,-4.17,7.59,-0.06,0.33,-0.49,0.81,18.62,25.19,-2.06,1.58,27.93,100818.59,,MTKGPS*08

71,1.58,27.93,100818.94,0.00,0.01,-0.09,-5.08,-3.76,7.49,-0.03,0.34,-0.50,0.80,25.12,24.37,3.75,1.58,27.93,100818.94,,MTKGPS*08

55,1.58,27.93,100819.13,0.09,0.05,0.08,-5.36,-3.48,7.43,-0.01,0.35,-0.50,0.79,0.88,-5.25,2.31,1.58,27.93,100819.13,,MTKGPS*08

42,1.58,27.93,100819.13,-0.03,-0.07,-0.14,-5.30,-3.41,7.50,-0.00,0.34,-0.50,0.80,1.00,4.31,0.75,1.58,27.93,100819.13,,MTKGPS*08

30,1.58,27.93,100820.18,-0.04,-0.01,-0.17,-5.32,-3.37,7.50,-0.00,0.34,-0.50,0.80,0.13,-0.37,0.00,1.58,27.93,100820.18,,MTKGPS*08

15,1.58,27.94,100820.31,0.02,-0.07,-0.23,-5.33,-3.38,7.49,-0.00,0.34,-0.50,0.80,-0.37,-0.44,0.75,1.58,27.94,100820.31,,MTKGPS*08

0,1.58,27.94,100820.54,0.08,-0.02,-0.09,-5.36,-3.39,7.47,-0.00,0.34,-0.50,0.79,0.88,2.81,-2.12,1.58,27.94,100820.54,,MTKGPS*08

240,1.58,27.94,100820.34,0.04,-0.02,-0.15,-5.38,-3.40,7.45,-0.00,0.35,-0.50,0.79,0.75,1.19,0.37,1.58,27.94,100820.34,,MTKGPS*08

225,1.58,27.94,100820.66,0.00,-0.06,-0.01,-5.39,-3.39,7.45,0.00,0.35,-0.50,0.79,-0.62,0.37,-0.50,1.58,27.94,100820.66,,MTKGPS*08

212,1.58,27.94,100820.20,-0.01,-0.08,-0.11,-5.42,-3.38,7.43,0.00,0.35,-0.50,0.79,0.75,2.50,-0.69,1.58,27.94,100820.20,,MTKGPS*08

202,1.58,27.93,100819.73,0.08,-0.07,0.09,-5.27,-3.20,7.62,0.01,0.33,-0.51,0.80,16.75,-12.69,0.06,1.58,27.93,100819.73,,MTKGPS*08

188,1.58,27.93,100819.87,-0.10,-0.10,-0.51,-5.01,-2.99,7.87,0.01,0.31,-0.51,0.80,0.25,-15.13,1.12,1.58,27.93,100819.87,,MTKGPS*08

173,1.58,27.93,100820.42,0.76,-0.03,1.30,-1.88,-3.06,9.12,-0.09,0.16,-0.49,0.85,1.44,-46.88,1.62,1.58,27.93,100820.42,,MTKGPS*08

157,1.58,27.93,100821.20,0.07,0.00,-0.06,-1.37,-3.06,9.21,-0.10,0.14,-0.49,0.85,-0.44,-13.38,0.56,1.58,27.93,100821.20,,MTKGPS*08

144,1.58,27.93,100821.44,-0.14,0.09,-0.10,-1.12,-3.00,9.26,-0.11,0.13,-0.49,0.86,1.81,-6.50,0.37,1.58,27.93,100821.44,,MTKGPS*08

130,1.58,27.93,100822.57,0.19,0.03,0.14,-0.80,-2.94,9.31,-0.11,0.11,-0.49,0.86,-0.69,-11.94,0.44,1.58,27.93,100822.57,,MTKGPS*08

114,1.58,27.93,100822.28,-0.10,0.12,-0.10,-0.44,-2.91,9.35,-0.12,0.09,-0.49,0.86,0.37,-14.63,2.75,1.58,27.93,100822.28,,MTKGPS*08

99,1.58,27.93,100821.54,0.02,-0.01,-0.01,-0.12,-2.88,9.37,-0.13,0.08,-0.48,0.86,0.06,-4.87,-0.06,1.58,27.93,100821.54,,MTKGPS*08

83,1.58,27.93,100821.39,-0.08,0.12,-0.05,0.00,-2.85,9.38,-0.13,0.07,-0.48,0.86,0.50,-3.62,0.56,1.58,27.93,100821.39,,002*2D

67,1.58,27.93,100821.01,-0.03,0.06,-0.01,0.08,-2.82,9.38,-0.13,0.07,-0.48,0.86,0.13,-1.37,-0.25,1.58,27.93,100821.01,,002*2D

54,1.58,27.93,100820.98,0.00,0.10,-0.06,0.10,-2.81,9.39,-0.13,0.07,-0.48,0.86,0.56,0.13,0.06,1.58,27.93,100820.98,,002*2D

41,1.58,27.93,100821.78,0.00,0.05,0.01,0.12,-2.80,9.39,-0.13,0.06,-0.48,0.87,0.00,-0.56,0.37,1.58,27.93,100821.78,,002*2D

26,1.58,27.93,100822.76,0.01,0.12,0.12,0.11,-2.80,9.39,-0.13,0.07,-0.48,0.86,0.06,0.13,-0.13,1.58,27.93,100822.76,,002*2D

