time_stamp,altitude,temperature,pressure
near_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z
137,-4.76,0.50,8.60,-0.16,-0.02,-0.03,-4.60,0.53,8.64,0.03,0.24,-0.01,0.97,-3.56,6.44,6.06
9,-5.65,-0.03,7.88,-0.31,-0.08,-0.33,-5.34,0.04,8.22,-0.00,0.28,0.01,0.96,3.50,11.44,0.06
112,-5.80,0.49,7.80,0.15,0.02,-0.01,-5.89,0.46,7.82,0.02,0.32,0.02,0.95,-0.13,-9.50,0.37
239,-6.04,0.46,7.74,-0.19,0.00,-0.13,-5.78,0.47,7.90,0.02,0.31,0.01,0.95,1.06,-9.38,-0.88
110,-5.78,0.48,7.88,-0.20,0.00,-0.14,-5.71,0.47,7.95,0.03,0.31,-0.00,0.95,0.00,-1.50,0.00
237,-5.82,0.54,7.88,-0.28,0.08,-0.19,-5.51,0.46,8.09,0.02,0.29,0.00,0.96,1.00,-24.19,0.19
87,-5.89,0.47,7.81,-0.11,0.00,-0.08,-5.78,0.46,7.90,0.02,0.31,0.00,0.95,-0.06,-0.06,-0.06
212,-5.90,0.47,7.80,-0.12,0.00,-0.08,-5.78,0.46,7.90,0.02,0.31,0.00,0.95,-0.06,0.06,-0.13
103,-6.78,0.46,7.31,-1.09,-0.01,-0.62,-5.95,0.47,7.77,0.02,0.32,0.00,0.95,0.06,2.00,-0.13
229,-3.02,0.56,9.33,0.28,0.01,0.14,-3.39,0.52,9.18,0.03,0.18,0.01,0.98,-0.75,28.44,-1.19
99,-8.73,-2.86,-1.50,0.47,0.16,-0.06,-9.21,-3.02,-1.43,-0.21,0.73,-0.02,0.65,-7.69,6.12,-8.63
225,-9.07,2.28,1.41,0.62,1.75,0.08,-9.70,0.53,1.33,-0.65,0.08,0.75,0.05,13.62,11.44,-9.44
97,-2.74,3.64,9.19,-1.72,-1.18,0.71,-1.01,4.83,8.47,0.04,0.26,0.91,0.33,-39.94,124.00,7.25
224,0.69,5.12,8.41,0.06,0.13,0.00,0.62,4.99,8.41,0.23,0.13,0.58,0.77,15.56,-14.19,-2.50
92,-0.53,4.84,8.46,0.28,0.13,0.00,-0.85,4.66,8.58,0.17,0.18,0.56,0.79,-4.44,-0.94,-2.12
218,-2.13,4.69,7.75,0.14,0.01,-0.77,-2.50,4.78,8.18,0.12,0.26,0.58,0.76,8.94,28.38,3.50
89,-0.79,4.91,8.36,0.31,-0.05,-0.01,-1.02,4.98,8.38,0.18,0.20,0.59,0.76,14.25,-68.87,-17.12
237,1.11,5.52,7.94,-0.24,-0.13,0.26,1.11,5.52,8.02,0.24,0.18,0.70,0.65,-5.81,6.12,2.37
109,3.60,4.49,7.85,-0.26,-0.03,0.13,3.96,4.51,7.74,0.32,0.00,0.63,0.71,-0.62,6.06,3.94
