# Simulation 5 (Up to date)
# 960 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (m),CG location (m),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (m),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,83,90,23.476,8.988,10.82,0.081,9.792,NaN,1.829,NaN,0,0,0,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0,0,0.157,192.898,0.01,0.003,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,83,90,23.471,8.983,10.818,0.081,9.792,NaN,1.828,NaN,142.178,0.619,0,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0,0,0.157,192.898,0.01,0.005,0
0.02,0,0,0.004,0.004,2.235,2.679,0,0,0,0,0.002,1.477,28.61,-80.6,0,0,0,0,83,90,23.466,8.978,10.816,0.081,9.792,NaN,1.828,NaN,284.356,1.238,3.144e-7,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,1.312e-5,843.437,0.157,192.898,0.01,0.006,5.97e-7
0.03,2.493e-4,2.493e-4,0.056,0.06,8.253,8.546,1.108e-4,0,1.108e-4,90,0.021,2.216,28.61,-80.6,13.431,0,0,0,83,90,23.46,8.973,10.814,0.081,9.792,NaN,1.828,NaN,426.534,1.857,6.907e-5,1.285,1.098,0.067,0.12,1.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,1.761e-4,1.132e4,0.157,192.898,0.01,0.007,7.812e-6
0.04,0.001,0.001,0.169,0.175,14.274,14.576,4.431e-4,0,4.431e-4,90,0.047,2.955,28.61,-80.6,8.489,0,0,0,83,90,23.455,8.967,10.812,0.081,9.792,NaN,1.828,NaN,568.712,2.476,4.004e-4,0.961,0.774,0.067,0.12,1.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,5.146e-4,3.309e4,0.157,192.898,0.01,0.008,2.266e-5
0.05,0.004,0.004,0.342,0.351,20.297,20.63,0.001,0,0.001,90,0.08,3.694,28.61,-80.6,6.182,0,0,0,83,90,23.45,8.962,10.809,0.081,9.792,NaN,1.828,NaN,710.89,3.096,0.001,0.822,0.635,0.067,0.12,0.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0.001,6.628e4,0.157,192.898,0.01,0.011,4.527e-5
0.06,0.008,0.008,0.575,0.587,26.323,26.693,0.002,0,0.002,90,0.121,4.434,28.61,-80.6,4.857,0,0,0,83,90,23.445,8.957,10.807,0.081,9.792,NaN,1.828,NaN,853.068,3.716,0.003,0.742,0.554,0.067,0.12,0.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.249,0.001,340.389,0.002,1.109e5,0.157,192.898,0.01,0.013,7.566e-5
0.07,0.016,0.016,0.868,0.884,32.351,32.762,0.004,0,0.004,90,0.169,5.174,28.61,-80.6,3.997,0,0,0,83,90,23.44,8.952,10.805,0.081,9.792,NaN,1.828,NaN,995.246,4.336,0.007,0.688,0.501,0.067,0.12,0.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.248,0.001,340.389,0.003,1.67e5,0.157,192.898,0.01,0.014,1.138e-4
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.026,0.026,1.222,1.242,38.527,38.817,0.005,6.809e-9,0.005,90,0.224,4.731,28.61,-80.6,3.396,0,0,0,83,90,23.434,8.947,10.803,0.08,9.792,NaN,1.828,NaN,1137.424,4.957,0.012,0.649,0.462,0.067,0.12,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.247,0.001,340.389,0.004,2.346e5,0.157,192.898,0.01,0.015,1.598e-4
0.09,0.04,0.04,1.637,1.66,44.561,44.895,0.008,1.063e-8,0.008,90,0.275,5.471,28.61,-80.6,2.54,0,0,0,83,90,23.429,8.941,10.801,0.08,9.792,NaN,1.827,NaN,1279.602,5.577,0.021,0.62,0.433,0.067,0.12,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.245,0.001,340.389,0.005,3.136e5,0.157,192.898,0.01,0.017,2.134e-4
0.1,0.059,0.059,2.113,2.139,50.597,50.977,0.011,1.444e-8,0.011,90,0.334,6.213,28.61,-80.6,1.971,0,0,0,83,90,23.424,8.936,10.799,0.08,9.792,NaN,1.827,NaN,1421.78,6.199,0.033,0.596,0.409,0.067,0.12,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.243,0.001,340.389,0.006,4.041e5,0.157,192.898,0.01,0.018,2.749e-4
0.11,0.083,0.083,2.649,2.679,56.635,57.061,0.015,1.826e-8,0.015,90,0.399,6.954,28.61,-80.6,1.574,0,0,0,83,90,23.419,8.931,10.797,0.08,9.792,NaN,1.827,NaN,1563.958,6.82,0.049,0.577,0.39,0.067,0.12,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.24,0.001,340.389,0.008,5.06e5,0.157,192.898,0.01,0.019,3.442e-4
0.12,0.112,0.112,3.246,3.28,62.676,63.147,0.019,2.208e-8,0.019,90,0.473,7.696,28.61,-80.6,1.285,0,0,0,83,90,23.414,8.926,10.795,0.08,9.792,NaN,1.827,NaN,1706.136,7.442,0.072,0.561,0.374,0.067,0.12,0.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.237,0.001,340.388,0.01,6.195e5,0.157,192.898,0.01,0.021,4.212e-4
0.13,0.148,0.148,3.903,3.942,68.719,69.236,0.024,2.59e-8,0.024,90,0.553,8.438,28.61,-80.6,1.07,0,0,0,83,90,23.408,8.921,10.793,0.08,9.792,NaN,1.827,NaN,1848.314,8.063,0.101,0.547,0.36,0.067,0.12,0.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.233,0.001,340.388,0.012,7.445e5,0.157,192.898,0.004,0.023,5.062e-4
0.134,0.164,0.164,4.182,4.223,71.137,71.672,0.026,2.742e-8,0.026,90,0.588,8.735,28.61,-80.6,0.998,0,0,0,83,90,23.406,8.919,10.792,0.08,9.792,NaN,1.827,NaN,1905.185,8.312,0.115,0.542,0.355,0.067,0.12,0.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.231,0.001,340.388,0.012,7.977e5,0.157,192.898,0.006,0.025,5.423e-4
0.14,0.19,0.19,4.61,4.654,71.267,71.802,0.03,2.971e-8,0.03,90,0.64,8.751,28.61,-80.6,0.906,0,0,0,83,90,23.4,8.912,10.789,0.08,9.792,NaN,1.827,NaN,1907.743,8.326,0.137,0.535,0.348,0.067,0.12,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.228,0.001,340.388,0.014,8.79e5,0.157,192.898,0.009,0.026,5.975e-4
0.149,0.235,0.235,5.252,5.301,71.462,71.998,0.036,3.315e-8,0.036,90,0.719,8.774,28.61,-80.6,0.795,0,0,0,83,90,23.39,8.903,10.785,0.08,9.792,NaN,1.826,NaN,1911.58,8.346,0.175,0.526,0.339,0.067,0.12,0.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.998,1013.222,0.001,340.388,0.016,1.001e6,0.157,192.898,0.01,0.027,6.806e-4
0.159,0.291,0.291,5.968,6.022,71.678,72.216,0.044,3.697e-8,0.044,90,0.807,8.801,28.61,-80.6,0.7,0,0,0,83,90,23.38,8.892,10.781,0.08,9.792,NaN,1.826,NaN,1915.844,8.368,0.222,0.518,0.33,0.067,0.12,0.518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.998,1013.216,0.001,340.388,0.018,1.137e6,0.157,192.898,0.01,0.028,7.731e-4
0.169,0.354,0.354,6.685,6.745,71.894,72.434,0.052,4.079e-8,0.052,90,0.895,8.827,28.61,-80.6,0.625,0,0,0,83,90,23.369,8.881,10.776,0.08,9.792,NaN,1.826,NaN,1920.108,8.391,0.275,0.51,0.323,0.067,0.12,0.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.998,1013.208,0.001,340.388,0.02,1.274e6,0.157,192.898,0.01,0.029,8.659e-4
0.179,0.424,0.424,7.405,7.47,72.11,72.652,0.062,4.46e-8,0.062,90,0.983,8.854,28.61,-80.6,0.564,0,0,0,83,90,23.358,8.87,10.772,0.08,9.792,NaN,1.826,NaN,1924.371,8.413,0.333,0.504,0.317,0.067,0.12,0.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.997,1013.2,0.001,340.387,0.022,1.411e6,0.157,192.898,0.01,0.03,9.589e-4
0.189,0.502,0.502,8.128,8.198,72.326,72.869,0.072,4.842e-8,0.072,90,1.072,8.881,28.61,-80.6,0.514,0,0,0,83,90,23.347,8.86,10.768,0.08,9.792,NaN,1.825,NaN,1928.635,8.436,0.396,0.499,0.311,0.067,0.12,0.499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.997,1013.191,0.001,340.387,0.024,1.548e6,0.157,192.898,0.01,0.031,0.001
0.199,0.587,0.587,8.852,8.928,72.542,73.087,0.083,5.224e-8,0.083,90,1.161,8.907,28.61,-80.6,0.472,0,0,0,83,90,23.337,8.849,10.763,0.08,9.792,NaN,1.825,NaN,1932.898,8.458,0.465,0.494,0.306,0.067,0.12,0.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.996,1013.181,0.001,340.387,0.026,1.686e6,0.157,192.898,0.01,0.032,0.001
0.209,0.679,0.679,9.578,9.66,72.758,73.304,0.095,5.606e-8,0.095,90,1.25,8.934,28.61,-80.6,0.436,0,0,0,83,90,23.326,8.838,10.759,0.08,9.792,NaN,1.825,NaN,1937.162,8.481,0.539,0.489,0.302,0.067,0.12,0.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.996,1013.17,0.001,340.386,0.028,1.824e6,0.157,192.898,0.01,0.033,0.001
0.219,0.779,0.779,10.307,10.394,72.974,73.522,0.108,5.987e-8,0.108,90,1.34,8.96,28.61,-80.6,0.406,0,0,0,83,90,23.315,8.828,10.755,0.08,9.792,NaN,1.824,NaN,1941.426,8.504,0.619,0.485,0.298,0.067,0.12,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.995,1013.159,0.001,340.386,0.031,1.963e6,0.157,192.898,0.01,0.034,0.001
0.229,0.885,0.885,11.038,11.13,73.19,73.74,0.122,6.369e-8,0.122,90,1.429,8.987,28.61,-80.6,0.379,0,0,0,83,90,23.305,8.817,10.75,0.08,9.792,NaN,1.824,NaN,1945.689,8.526,0.705,0.481,0.294,0.067,0.12,0.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.994,1013.146,0.001,340.385,0.033,2.102e6,0.157,192.898,0.01,0.035,0.001
0.239,0.999,0.999,11.771,11.869,73.406,73.957,0.137,6.751e-8,0.137,90,1.519,9.013,28.61,-80.6,0.355,0,0,0,83,90,23.294,8.806,10.746,0.08,9.792,NaN,1.824,NaN,1949.953,8.549,0.795,0.478,0.291,0.067,0.12,0.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.994,1013.133,0.001,340.385,0.035,2.242e6,0.157,192.898,0.01,0.036,0.002
0.249,1.121,1.121,12.506,12.609,73.621,74.174,0.152,7.133e-8,0.152,90,1.61,9.04,28.61,-80.6,0.334,0,0,0,83,90,23.283,8.795,10.741,0.08,9.792,NaN,1.824,NaN,1954.216,8.571,0.895,0.476,0.289,0.067,0.12,0.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.993,1013.119,0.001,340.384,0.037,2.381e6,0.157,192.898,0.01,0.038,0.002
0.259,1.25,1.25,13.243,13.352,73.837,74.391,0.169,7.514e-8,0.169,90,1.7,9.066,28.61,-80.6,0.316,0,0,0,83,90,23.273,8.785,10.737,0.08,9.792,NaN,1.823,NaN,1958.48,8.594,1.004,0.476,0.289,0.067,0.12,0.476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.992,1013.103,0.001,340.384,0.039,2.522e6,0.157,192.898,0.01,0.039,0.002
0.269,1.386,1.386,13.983,14.097,74.052,74.608,0.186,7.896e-8,0.186,90,1.791,9.092,28.61,-80.6,0.299,0,0,0,83,90,23.262,8.774,10.733,0.08,9.792,NaN,1.823,NaN,1962.744,8.617,1.119,0.476,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.991,1013.087,0.001,340.383,0.041,2.662e6,0.157,192.898,0.01,0.041,0.002
0.279,1.529,1.529,14.724,14.844,74.268,74.825,0.205,8.278e-8,0.205,90,1.882,9.119,28.61,-80.6,0.284,0,0,0,83,90,23.251,8.763,10.728,0.08,9.792,NaN,1.823,NaN,1967.007,8.639,1.24,0.476,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.99,1013.071,0.001,340.383,0.044,2.803e6,0.157,192.898,0.01,0.042,0.002
0.289,1.68,1.68,15.468,15.594,74.483,75.042,0.224,8.66e-8,0.224,90,1.973,9.145,28.61,-80.6,0.27,0,0,0,83,90,23.24,8.753,10.724,0.08,9.792,NaN,1.822,NaN,1971.271,8.662,1.369,0.476,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.989,1013.053,0.001,340.382,0.046,2.945e6,0.157,192.898,0.01,0.043,0.002
0.299,1.839,1.839,16.214,16.345,74.698,75.259,0.244,9.041e-8,0.244,90,2.065,9.172,28.61,-80.6,0.258,0,0,0,83,90,23.23,8.742,10.719,0.08,9.792,NaN,1.822,NaN,1975.534,8.685,1.504,0.476,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.988,1013.034,0.001,340.382,0.048,3.087e6,0.157,192.898,0.01,0.045,0.002
0.309,2.004,2.004,16.962,17.099,74.913,75.476,0.265,9.423e-8,0.265,90,2.157,9.198,28.61,-80.6,0.247,0,0,0,83,90,23.219,8.731,10.715,0.08,9.792,NaN,1.822,NaN,1979.798,8.708,1.646,0.476,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.987,1013.015,0.001,340.381,0.05,3.229e6,0.157,192.898,0.01,0.046,0.002
0.319,2.178,2.178,17.712,17.855,75.128,75.692,0.287,9.805e-8,0.287,90,2.249,9.225,28.61,-80.6,0.236,0,0,0,83,90,23.208,8.72,10.711,0.08,9.792,NaN,1.822,NaN,1984.062,8.73,1.795,0.477,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.986,1012.995,0.001,340.38,0.052,3.372e6,0.157,192.898,0.01,0.047,0.002
0.329,2.359,2.359,18.465,18.613,75.343,75.909,0.31,1.019e-7,0.31,90,2.341,9.251,28.61,-80.6,0.227,0,0,0,83,90,23.198,8.71,10.706,0.08,9.792,NaN,1.821,NaN,1988.325,8.753,1.95,0.477,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.985,1012.973,0.001,340.38,0.055,3.515e6,0.157,192.898,0.01,0.048,0.002
0.339,2.547,2.547,19.219,19.373,75.558,76.125,0.334,1.057e-7,0.334,90,2.434,9.277,28.61,-80.6,0.218,0,0,0,83,90,23.187,8.699,10.702,0.08,9.792,NaN,1.821,NaN,1992.589,8.776,2.113,0.477,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.983,1012.951,0.001,340.379,0.057,3.658e6,0.157,192.898,0.01,0.05,0.002
0.349,2.743,2.743,19.976,20.135,75.772,76.341,0.359,1.095e-7,0.359,90,2.527,9.304,28.61,-80.6,0.209,0,0,0,83,90,23.176,8.688,10.697,0.08,9.792,NaN,1.821,NaN,1996.852,8.799,2.283,0.477,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.982,1012.928,0.001,340.378,0.059,3.802e6,0.157,192.898,0.01,0.051,0.003
0.359,2.947,2.947,20.735,20.9,75.987,76.558,0.385,1.133e-7,0.385,90,2.62,9.33,28.61,-80.6,0.202,0,0,0,83,90,23.165,8.678,10.693,0.08,9.792,NaN,1.821,NaN,2001.116,8.822,2.459,0.477,0.289,0.067,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.981,1012.904,0.001,340.377,0.061,3.947e6,0.157,192.898,0.01,0.052,0.003
0.369,3.158,3.158,21.496,21.666,76.201,76.774,0.411,1.171e-7,0.411,90,2.713,9.356,28.61,-80.6,0.195,0,0,0,83,90,23.155,8.667,10.688,0.08,9.792,NaN,1.82,NaN,2005.38,8.845,2.643,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.979,1012.88,0.001,340.376,0.064,4.091e6,0.157,192.898,0.01,0.054,0.003
0.379,3.377,3.377,22.259,22.435,76.416,76.99,0.439,1.21e-7,0.439,90,2.807,9.383,28.61,-80.6,0.188,0,0,0,83,90,23.144,8.656,10.684,0.08,9.792,NaN,1.82,NaN,2009.643,8.868,2.834,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.978,1012.854,0.001,340.376,0.066,4.237e6,0.157,192.898,0.01,0.056,0.003
0.389,3.603,3.603,23.024,23.206,76.63,77.206,0.468,1.248e-7,0.468,90,2.901,9.409,28.61,-80.6,0.182,0,0,0,83,90,23.133,8.646,10.679,0.08,9.792,NaN,1.82,NaN,2013.907,8.89,3.033,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.977,1012.827,0.001,340.375,0.068,4.382e6,0.157,192.898,0.01,0.058,0.003
0.399,3.837,3.837,23.791,23.979,76.844,77.421,0.497,1.286e-7,0.497,90,2.995,9.435,28.61,-80.6,0.176,0,0,0,83,90,23.123,8.635,10.675,0.08,9.792,NaN,1.819,NaN,2018.17,8.913,3.238,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.975,1012.8,0.001,340.374,0.07,4.528e6,0.157,192.898,0.007,0.059,0.003
0.406,4.005,4.005,24.33,24.522,76.994,77.572,0.518,1.313e-7,0.518,90,3.061,9.454,28.61,-80.6,0.172,0,0,0,83,90,23.115,8.627,10.672,0.08,9.792,NaN,1.819,NaN,2021.155,8.929,3.387,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.974,1012.78,0.001,340.373,0.072,4.63e6,0.157,192.898,0.01,0.061,0.003
0.416,4.253,4.253,25.1,25.298,77.144,77.724,0.549,1.351e-7,0.549,90,3.156,9.472,28.61,-80.6,0.167,0,0,0,83,90,23.104,8.616,10.667,0.08,9.792,NaN,1.819,NaN,2023.893,8.946,3.605,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.972,1012.751,0.001,340.372,0.074,4.777e6,0.157,192.898,0.01,0.063,0.003
0.426,4.507,4.507,25.873,26.076,77.295,77.875,0.581,1.389e-7,0.581,90,3.251,9.491,28.61,-80.6,0.162,0,0,0,83,90,23.093,8.605,10.663,0.08,9.792,NaN,1.819,NaN,2026.631,8.962,3.83,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.971,1012.721,0.001,340.371,0.077,4.924e6,0.157,192.898,0.01,0.064,0.003
0.436,4.77,4.77,26.646,26.856,77.445,78.026,0.614,1.427e-7,0.614,90,3.346,9.509,28.61,-80.6,0.157,0,0,0,83,90,23.081,8.594,10.658,0.08,9.792,NaN,1.818,NaN,2029.369,8.979,4.063,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.969,1012.691,0.001,340.37,0.079,5.071e6,0.157,192.898,0.01,0.066,0.003
0.446,5.04,5.04,27.421,27.637,77.594,78.177,0.648,1.465e-7,0.648,90,3.441,9.527,28.61,-80.6,0.153,0,0,0,83,90,23.07,8.582,10.653,0.08,9.792,NaN,1.818,NaN,2032.107,8.995,4.303,0.477,0.289,0.067,0.121,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.967,1012.659,0.001,340.369,0.081,5.218e6,0.157,192.898,0.01,0.067,0.004
# Event LAUNCHROD occurred at t=0.456 seconds
0.456,5.318,5.318,28.198,28.419,77.6,78.337,0.683,1.503e-7,0.683,90,3.536,10.715,28.61,-80.6,0.148,0,0,0,83,90,23.059,8.571,10.648,0.08,9.792,2.205,1.818,2.469,2034.845,9.012,4.55,0.477,0.289,0.067,0.121,0.477,0.028,0.07,4.004e-6,0,0,0,0,0,0,0,14.965,1012.626,0.001,340.368,0.083,5.366e6,0.157,192.898,0.015,0.068,0.004
0.471,5.75,5.75,29.364,29.596,77.825,78.562,0.737,1.843e-7,0.737,90,3.697,10.739,28.61,-80.6,0.177,0,2.682e-5,2.442e-8,83,90,23.042,8.554,10.641,0.08,9.792,2.204,1.817,2.467,2038.951,9.037,4.936,0.477,0.289,0.067,0.121,0.477,0.034,0.083,-3.087e-4,0,0,0,0,1.173e-7,0,0,14.963,1012.576,0.001,340.366,0.087,5.588e6,0.157,192.898,0.023,0.069,0.004
0.494,6.431,6.431,31.119,31.367,78.161,78.9,0.823,3.444e-7,0.823,90,3.939,10.775,28.61,-80.6,0.214,0,8.06e-5,9.653e-9,83,90,23.017,8.529,10.631,0.08,9.792,2.203,1.817,2.466,2045.112,9.074,5.546,0.477,0.289,0.067,0.121,0.477,0.041,0.101,-4.335e-4,0,0,0,0,9.433e-7,0,0,14.958,1012.496,0.001,340.364,0.092,5.922e6,0.157,192.898,0.034,0.07,0.004
0.527,7.525,7.525,33.765,34.038,78.663,79.405,0.962,8.457e-7,0.962,90,4.304,10.83,28.61,-80.6,0.262,0,1.945e-4,9.46e-8,82.998,90,22.979,8.491,10.615,0.08,9.792,2.202,1.816,2.466,2054.352,9.13,6.533,0.477,0.289,0.067,0.121,0.478,0.05,0.124,4.314e-4,0,0,0,0,4.663e-6,0,0,14.951,1012.367,0.001,340.359,0.1,6.426e6,0.157,192.898,0.05,0.071,0.004
0.577,9.312,9.312,37.717,38.027,79.403,80.15,1.191,2.215e-6,1.191,90,4.848,10.914,28.61,-80.6,0.316,0,4.442e-4,-4.948e-7,82.992,90,22.923,8.435,10.591,0.08,9.792,2.201,1.814,2.468,2068.042,9.213,8.159,0.478,0.289,0.067,0.122,0.478,0.061,0.15,-2.035e-4,0,0,0,0,1.95e-5,0,0,14.939,1012.158,0.001,340.352,0.112,7.178e6,0.157,192.898,0.05,0.072,0.005
0.627,11.298,11.298,41.705,42.053,80.137,80.889,1.447,4.427e-6,1.447,90,5.395,11.004,28.61,-80.6,0.353,0,8.02e-4,-4.821e-7,82.981,90,22.867,8.379,10.568,0.08,9.792,2.2,1.813,2.472,2081.731,9.297,9.984,0.478,0.289,0.068,0.122,0.478,0.068,0.168,-5.78e-5,0,0,0,0,5.196e-5,0,0,14.927,1011.925,0.001,340.344,0.124,7.936e6,0.157,192.898,0.052,0.073,0.005
0.679,13.564,13.564,45.872,46.258,80.889,81.649,1.741,7.733e-6,1.741,90,5.968,11.109,28.61,-80.6,0.374,0,0.001,-9.566e-7,82.962,90,22.809,8.321,10.543,0.08,9.792,2.2,1.811,2.48,2095.9,9.384,12.09,0.479,0.289,0.068,0.122,0.479,0.072,0.179,3.25e-5,0,0,0,0,1.116e-4,0,0,14.912,1011.659,0.001,340.335,0.136,8.729e6,0.157,192.898,0.05,0.075,0.006
0.729,15.959,15.959,49.932,50.357,81.516,82.284,2.054,1.206e-5,2.054,90,6.526,11.215,28.61,-80.6,0.379,0,0.002,-2.307e-7,82.933,90,22.751,8.263,10.518,0.08,9.792,2.2,1.809,2.49,2107.29,9.459,14.338,0.479,0.288,0.068,0.123,0.479,0.073,0.183,4.223e-4,0,0,0,0,2.001e-4,0,0,14.896,1011.378,0.001,340.326,0.148,9.5e6,0.157,192.898,0.05,0.077,0.006
0.779,18.557,18.557,54.023,54.487,82.133,82.913,2.394,1.765e-5,2.394,90,7.089,11.343,28.61,-80.6,0.37,0,0.003,-8.52e-7,82.893,90,22.693,8.205,10.493,0.08,9.792,2.2,1.808,2.503,2118.679,9.535,16.799,0.48,0.288,0.068,0.123,0.48,0.071,0.179,-4.45e-4,0,0,0,0,3.206e-4,0,0,14.879,1011.074,0.001,340.316,0.16,1.028e7,0.157,192.898,0.05,0.08,0.007
0.829,21.361,21.361,58.145,58.648,82.741,83.536,2.763,2.468e-5,2.763,89.999,7.66,11.496,28.61,-80.6,0.345,0,0.003,-8.365e-7,82.84,89.999,22.635,8.147,10.468,0.08,9.792,2.201,1.806,2.518,2130.069,9.611,19.479,0.48,0.288,0.068,0.124,0.48,0.067,0.168,9.454e-5,0,0,0,0,4.691e-4,0,0,14.861,1010.745,0.001,340.305,0.172,1.106e7,0.157,192.898,0.05,0.081,0.008
0.879,24.372,24.372,62.297,62.84,83.338,84.153,3.16,3.331e-5,3.16,89.999,8.24,11.68,28.61,-80.6,0.306,0,0.004,-5.752e-7,82.772,89.999,22.577,8.089,10.443,0.079,9.792,2.202,1.805,2.536,2141.458,9.687,22.382,0.481,0.288,0.068,0.124,0.481,0.059,0.15,1.855e-4,0,0,0,0,6.336e-4,0,0,14.842,1010.392,0.001,340.293,0.185,1.185e7,0.157,192.898,0.05,0.086,0.008
