# mach vs cd (Up to date)
# 960 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.492,0.347
0.492,0.345
0.492,0.343
0.492,0.341
0.492,0.339
0.491,0.338
0.491,0.336
0.491,0.334
0.491,0.332
0.491,0.33
0.491,0.328
0.49,0.327
0.49,0.325
0.49,0.323
0.49,0.321
0.49,0.319
0.49,0.318
0.489,0.316
0.489,0.314
0.489,0.312
0.489,0.31
0.489,0.309
0.489,0.307
0.489,0.305
0.488,0.303
0.488,0.302
0.488,0.3
0.488,0.298
0.488,0.296
0.488,0.295
0.488,0.293
0.487,0.291
0.487,0.289
0.487,0.288
0.487,0.286
0.487,0.284
0.487,0.283
0.487,0.281
0.487,0.279
0.486,0.277
0.486,0.276
0.486,0.274
0.486,0.272
0.486,0.271
0.486,0.269
0.486,0.267
0.486,0.266
0.485,0.264
0.485,0.262
0.485,0.261
0.485,0.259
0.485,0.258
0.485,0.256
0.485,0.254
0.485,0.253
0.485,0.251
0.484,0.249
0.484,0.248
0.484,0.246
0.484,0.245
0.484,0.243
0.484,0.241
0.484,0.24
0.484,0.238
0.484,0.237
0.484,0.235
0.483,0.233
0.483,0.232
0.483,0.23
0.483,0.229
0.483,0.227
0.483,0.226
0.483,0.224
0.483,0.222
0.483,0.221
0.483,0.219
0.482,0.218
0.482,0.216
0.482,0.215
0.482,0.213
0.482,0.212
0.482,0.21
0.482,0.209
0.482,0.207
0.482,0.206
0.482,0.204
0.482,0.203
0.482,0.201
0.481,0.2
0.481,0.198
0.481,0.197
0.481,0.195
0.481,0.194
0.481,0.192
0.481,0.191
0.481,0.189
0.481,0.188
0.481,0.187
0.481,0.185
0.481,0.184
0.481,0.182
0.481,0.181
0.48,0.179
0.48,0.178
0.48,0.177
0.48,0.175
0.48,0.174
0.48,0.172
0.48,0.171
0.48,0.17
0.48,0.168
0.48,0.167
0.48,0.165
0.48,0.164
0.48,0.163
0.48,0.161
0.48,0.16
0.479,0.159
0.479,0.157
0.479,0.156
0.479,0.155
0.479,0.153
0.479,0.152
0.479,0.151
0.479,0.149
0.479,0.148
0.479,0.147
0.479,0.145
0.479,0.144
0.479,0.143
0.479,0.142
0.479,0.14
0.479,0.139
0.479,0.138
0.479,0.137
0.479,0.135
0.479,0.134
0.478,0.133
0.478,0.132
0.478,0.131
0.478,0.129
0.478,0.128
0.478,0.127
0.478,0.126
0.478,0.125
0.478,0.123
0.478,0.122
0.478,0.121
0.478,0.12
0.478,0.119
0.478,0.118
0.478,0.117
0.478,0.116
0.478,0.115
0.478,0.114
0.478,0.113
0.478,0.112
0.478,0.111
0.478,0.11
0.478,0.109
0.478,0.108
0.478,0.107
0.478,0.106
0.478,0.105
0.478,0.104
0.478,0.103
0.478,0.102
0.478,0.101
0.477,0.1
0.477,0.099
0.477,0.099
0.477,0.098
0.477,0.097
0.477,0.096
0.477,0.095
0.477,0.095
0.477,0.094
0.477,0.093
0.477,0.093
0.477,0.092
0.477,0.091
0.477,0.091
0.477,0.09
0.477,0.089
0.477,0.089
0.477,0.088
0.477,0.088
0.477,0.087
0.477,0.087
0.477,0.086
0.477,0.086
0.477,0.086
0.477,0.085
0.477,0.085
0.477,0.085
0.477,0.084
0.477,0.084
0.477,0.084
0.477,0.084
0.477,0.083
0.477,0.083
0.477,0.083
0.477,0.083
0.477,0.083
0.477,0.083
# Event APOGEE occurred at t=25.935 seconds
0.477,0.083
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.936 seconds
# Event SIM_WARN occurred at t=25.985 seconds: Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
16.286,0.083
16.286,0.081
16.286,0.08
16.286,0.079
16.286,0.078
16.286,0.077
16.286,0.076
16.286,0.076
16.286,0.075
16.286,0.075
16.286,0.074
16.286,0.074
16.286,0.074
16.286,0.074
16.286,0.075
16.286,0.075
16.286,0.076
16.286,0.076
16.286,0.077
16.286,0.078
16.286,0.079
16.286,0.079
16.286,0.081
16.286,0.082
16.286,0.083
16.286,0.084
16.286,0.085
16.286,0.087
16.286,0.088
16.286,0.09
16.286,0.091
16.286,0.093
16.286,0.094
16.286,0.096
16.286,0.097
16.286,0.099
16.286,0.1
16.286,0.102
16.286,0.103
16.286,0.104
16.286,0.106
16.286,0.107
16.286,0.107
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.109
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.108
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.107
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.106
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.105
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.104
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.103
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.102
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.101
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.1
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.099
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.098
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.097
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.096
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.095
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.094
16.286,0.093
16.286,0.093
16.286,0.093
16.286,0.093
