# Simulation 5 (Up to date)
# 960 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# CP location (m),CG location (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.214,1.638
2.214,1.638
2.214,1.638
2.214,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.213,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.212,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.211,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.21,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.209,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.208,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.207,1.638
2.206,1.638
2.206,1.638
2.206,1.638
2.206,1.638
2.206,1.638
2.206,1.638
2.206,1.638
2.205,1.638
2.205,1.638
2.205,1.638
2.205,1.638
2.205,1.638
2.204,1.638
2.204,1.638
2.204,1.638
2.204,1.638
2.204,1.638
2.203,1.638
2.203,1.638
2.203,1.638
2.203,1.638
2.202,1.638
2.202,1.638
2.202,1.638
2.201,1.638
2.201,1.638
2.201,1.638
2.2,1.638
2.2,1.638
2.2,1.638
2.199,1.638
2.199,1.638
2.199,1.638
2.198,1.638
2.198,1.638
2.197,1.638
2.197,1.638
2.196,1.638
2.196,1.638
2.195,1.638
2.195,1.638
2.194,1.638
2.194,1.638
2.193,1.638
2.192,1.638
2.192,1.638
2.191,1.638
2.19,1.638
2.19,1.638
2.189,1.638
2.188,1.638
2.188,1.638
2.187,1.638
2.186,1.638
2.185,1.638
2.185,1.638
2.184,1.638
2.183,1.638
2.182,1.638
2.182,1.638
2.181,1.638
2.18,1.638
2.179,1.638
2.178,1.638
2.178,1.638
2.177,1.638
2.176,1.638
2.175,1.638
2.175,1.638
2.174,1.638
2.173,1.638
2.173,1.638
2.172,1.638
2.171,1.638
2.171,1.638
2.17,1.638
2.17,1.638
2.17,1.638
2.169,1.638
2.169,1.638
2.169,1.638
2.169,1.638
2.169,1.638
2.169,1.638
2.17,1.638
2.17,1.638
2.17,1.638
2.171,1.638
2.172,1.638
2.172,1.638
# Event APOGEE occurred at t=25.935 seconds
2.173,1.638
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=25.936 seconds
# Event SIM_WARN occurred at t=25.985 seconds: Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
# Event SIM_WARN occurred at t=134.564 seconds: Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=134.564 seconds
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
0,1.638
# Event GROUND_HIT occurred at t=166.782 seconds
# Event SIMULATION_END occurred at t=166.782 seconds
0,1.638
